M0(t=0),M0(t=1),M0(t=2),M0(t=3),M0(t=4),M0(t=5),M0(t=6),M0(t=7),M0(t=8),M0(t=9),M0(t=10),M0(t=11),M0(t=12),M0(t=13),M0(t=14),M0(t=15),M0(t=16),M0(t=17),M0(t=18),M0(t=19),M1(t=0),M1(t=1),M1(t=2),M1(t=3),M1(t=4),M1(t=5),M1(t=6),M1(t=7),M1(t=8),M1(t=9),M1(t=10),M1(t=11),M1(t=12),M1(t=13),M1(t=14),M1(t=15),M1(t=16),M1(t=17),M1(t=18),M1(t=19),M2(t=0),M2(t=1),M2(t=2),M2(t=3),M2(t=4),M2(t=5),M2(t=6),M2(t=7),M2(t=8),M2(t=9),M2(t=10),M2(t=11),M2(t=12),M2(t=13),M2(t=14),M2(t=15),M2(t=16),M2(t=17),M2(t=18),M2(t=19),M3(t=0),M3(t=1),M3(t=2),M3(t=3),M3(t=4),M3(t=5),M3(t=6),M3(t=7),M3(t=8),M3(t=9),M3(t=10),M3(t=11),M3(t=12),M3(t=13),M3(t=14),M3(t=15),M3(t=16),M3(t=17),M3(t=18),M3(t=19),M4(t=0),M4(t=1),M4(t=2),M4(t=3),M4(t=4),M4(t=5),M4(t=6),M4(t=7),M4(t=8),M4(t=9),M4(t=10),M4(t=11),M4(t=12),M4(t=13),M4(t=14),M4(t=15),M4(t=16),M4(t=17),M4(t=18),M4(t=19)
covid,symptoms,strengthening,relief,grant,control,contact,federal,individuals,year,announced,essential,due,expected,immediately,tested,companies,place,states,students,government,ismail,marshall,island,call,institutions,place,centres,distribution,angola,crisis,medical,june,entry,distance,good,end,protect,soe,stop,government,free,release,extended,public,compliance,additional,lanka,suspension,states,bars,good,nationwide,flights,capacity,allowing,locked,sector,opening,units,covid,service,stimulus,approved,protect,extend,water,lanka,health,corona,countries,borders,water,march,masks,operation,decision,exempted,disaster,hospitals,covid,called,members,essential,essential,apply,put,persons,northern,market,nationwide,large,bars,community,week,china,angola,selling,military,states
health,people,protection,months,movement,distribution,law,workers,public,military,health,days,chief,travellers,provide,tax,guidelines,land,tuesday,country,covid,inter,plan,coming,large,billion,wide,shops,healthcare,northern,hospitals,working,president,buses,tomorrow,day,family,portugal,ports,corona,health,vessels,reasons,rules,cancelled,masks,continue,days,protection,overseas,tax,free,sports,protection,called,wear,tests,subject,laboratory,information,public,business,city,march,limit,provide,tomorrow,decided,police,korea,limited,products,mobile,goods,screening,citizens,weeks,families,pay,region,health,release,sri,system,urged,pm,dominica,sri,minister,sector,president,prevent,bulgaria,portugal,made,disease,carry,visits,families,testing
government,public,professionals,arriving,operations,curfew,sector,impact,sri,call,impact,family,years,stimulus,coming,trade,transport,chief,south,disease,coronavirus,effect,federal,gathering,airport,march,goods,stopped,mobile,period,areas,made,exemption,payment,country,apply,personnel,enhanced,disease,providing,people,saturday,june,world,set,wednesday,ban,india,control,back,access,fund,payment,temporarily,china,iran,released,starting,ismail,income,government,rules,items,million,electricity,items,australia,cases,coronavirus,airports,national,authority,partial,end,lanka,declared,virus,government,saturday,borders,lockdown,private,permitted,entry,development,civil,water,district,total,italy,told,supermarkets,points,bulgaria,april,bars,wear,tests,vessels,district
people,line,providing,work,designated,corona,banned,masks,border,families,suspended,community,enforce,stopped,italy,approved,restrictions,institutions,minister,large,people,locked,times,roads,partial,closed,information,offices,price,family,stay,impact,tomorrow,sectors,mongolia,ensure,operation,children,leaving,taking,coronavirus,assistance,cargo,enforce,years,leaving,effective,fines,homes,grant,shops,mr,reasons,health,doctors,corona,coming,chief,australia,isolation,coronavirus,land,offices,families,expected,free,professionals,provide,home,institutions,assist,total,infected,sea,nepal,areas,samoa,religious,issued,home,april,stopped,official,services,permitted,good,allowing,ensure,law,law,order,designated,community,bars,partial,portugal,roads,education,doctors,airports
coronavirus,universities,access,pandemic,essential,capacity,exemption,bars,essential,family,flights,year,angola,foreigners,roads,sector,civil,situation,home,ordered,essential,gatherings,stop,personnel,day,today,ban,bulgaria,wide,leave,asked,temporary,good,employees,part,corona,clubs,small,region,arriving,public,payment,checkpoints,items,due,case,stimulus,companies,persons,enhanced,sector,officials,deployed,country,island,payment,end,saturday,mobile,borders,state,centers,mr,including,receive,rules,normal,law,covid,checkpoints,million,allowed,relief,control,apply,vulnerable,regulations,high,disease,department,people,operations,president,cases,orders,products,angola,bank,impact,commercial,ordered,wear,training,jobs,area,immediately,islands,areas,urged,deployed
public,additional,business,prisoners,contact,tax,june,days,fund,supplies,grant,measures,gatherings,reduce,commercial,inter,capacity,years,border,effect,public,checkpoints,solomon,regulations,crossings,announced,residents,free,military,notice,arrival,public,individuals,wednesday,payment,times,includes,crisis,corona,high,allowed,law,regulations,events,avoid,force,force,restaurants,surveillance,mandatory,imposed,mozambique,payments,prisons,government,entry,wear,fiji,rules,arriving,days,harold,person,suspend,buses,enter,territory,establishments,services,spread,entry,providing,students,assist,doctors,units,provide,districts,continue,institutions,quarantine,law,places,period,safety,healthcare,tested,cancelled,shops,ordered,travel,test,jobs,wear,exempted,commercial,measure,online,area,establishments
march,months,authorities,children,number,media,committee,includes,prisons,distancing,back,hygiene,approves,established,symptoms,australia,expected,funerals,disaster,ban,services,combat,set,approved,rules,roads,borders,hand,reasons,gatherings,department,nationals,wide,national,patients,year,port,outbreak,order,cancelled,state,suspension,capacity,republic,citizens,dominica,compliance,day,vessels,immediately,wear,transportation,healthcare,mr,vanuatu,italy,iran,wear,water,rules,curfew,high,republic,lockdown,city,designated,stopped,months,gatherings,period,medicines,resume,effective,china,tests,suspend,made,soe,open,chief,measures,call,quarantine,schools,corona,daily,law,medical,banks,financial,states,travel,monitoring,shut,tax,ports,states,official,protection,masks
country,allowed,customers,operations,subject,iran,persons,healthcare,year,development,province,longer,limit,development,airports,crossings,virus,sri,financial,civil,lockdown,special,additional,portugal,entering,sri,package,port,extend,worth,good,isolation,country,foreign,carry,leaving,goods,airports,municipalities,central,country,emergency,offices,allowed,system,strengthening,opening,prisoners,provide,sector,facilities,regulations,prison,staff,sunday,temporarily,chief,island,school,restrictions,health,products,saturday,coronavirus,total,told,cargo,prevent,lockdown,leave,effect,told,assistance,hours,daily,address,issued,national,provinces,respiratory,national,disaster,domestic,months,taking,centre,workers,allowing,citizens,month,number,school,entry,exemption,city,businesses,municipalities,wear,passengers,stations
april,week,vessels,protection,workers,vehicles,midnight,citizens,days,quarantine,ministry,portugal,put,vessels,prisoners,commission,employees,centre,positive,end,march,capital,locked,events,wednesday,gathering,distance,tomorrow,sunday,inter,healthcare,island,remain,allowed,control,working,ports,private,vanuatu,islands,days,people,arrival,establishments,national,essential,republic,transport,line,ensure,provide,restriction,land,buses,announces,transportation,line,patients,told,federal,emergency,district,fiji,spread,gathering,easter,expected,area,work,prisons,curfew,checkpoints,ensure,increase,health,korea,arrived,transport,fight,vanuatu,essential,parliament,airports,notice,members,inter,person,saturday,malaysia,testing,passenger,opening,kits,residents,friday,media,contact,restriction,capacity,tuesday
ministry,open,payment,made,global,resume,efforts,contact,police,extended,government,masks,allowed,extension,supplies,population,units,areas,allowed,working,curfew,australia,training,put,homes,spread,made,india,plan,prevent,enhanced,allowed,border,supply,public,prevention,distribution,members,address,overseas,quarantine,june,force,capital,ordered,soe,infected,april,federal,told,areas,places,wide,sector,banned,monitoring,groups,cancelled,provinces,selling,country,designated,establishments,line,thursday,plan,release,ships,minister,june,public,taking,masks,school,community,end,continue,universities,access,grant,march,samoa,home,plan,monitoring,png,capacity,centres,told,mobile,institutions,testing,mr,persons,china,regulations,operate,people,virus,portugal
