Topic 0,'severity','contracted','los','effective','situations','guangzhou','council','person','traffic'
Topic 1,‘sector','afternoon','project','korea','foundation','factories','higher','shipped','support'
Topic 2,'residence','pilgrimage','sealed','moving','schedule','iraq','raised','australian','funds'
Topic 3,'coronaviruses','receive','usual','cov','seek','office','kindergartens','bahrain','aimed'
Topic 4,'request','ways','working','begun','advisory','boost','medication','capacity','trip'
Topic 5,'links','evacuated','isolating','diplomats','ministries','advised','highly','practices','season'
Topic 6,'spreads','governor','organization','eu','line','psychological','increasing','travels','encouraging'
Topic 7,'sharing','communications','charter','morning','beijing','caribbean','negative','equipment','biggest'
Topic 8,'resume','hit','cruise','bans','notified','leader','universities','opened','readiness'
Topic 9,'indonesian','electronic','final','works','assessed','assist','guidance','funding','continues'
Topic 10,'february','britain','winter','kenya','precautionary','google','prepare','insurance','noted'
Topic 11,'growing','commission','visiting','lombardy','treating','region','clinicians','secondary','mexico'
Topic 12,'egyptian','pose','additional','complete','google','safety','finance','globe','railway'
Topic 13,'governor','agency','hospitals','addition','rules','foreign','land','iata','resort'
Topic 14,'passenger','government','register','princess','europe','timely','center','ministries','depart'
Topic 15,'halt','child','produce','measures','vital','federation','policy','summer','rising'
Topic 16,'center','transmitted','schools','number','capacity','circumstances','agencies','place','version'
Topic 17,'unknown','jordan','staff','donate','police','stocks','americans','daily','guangdong'
Topic 18,'forum','human','efforts','weekend','young','cities','central','denied','provinces'
Topic 19,'office','moh','stranded','claims','numbers','reasons','specific','saudi','ministers'
